timestamp,buyer,seller,symbol,currency,price,quantity
200,,,INTARIAN_PEPPER_ROOT,XIRECS,12007.0,5
3300,,,INTARIAN_PEPPER_ROOT,XIRECS,12010.0,7
4100,,,INTARIAN_PEPPER_ROOT,XIRECS,11998.0,6
6800,,,INTARIAN_PEPPER_ROOT,XIRECS,12000.0,5
9300,,,INTARIAN_PEPPER_ROOT,XIRECS,12005.0,6
11900,,,INTARIAN_PEPPER_ROOT,XIRECS,12015.0,4
22500,,,INTARIAN_PEPPER_ROOT,XIRECS,12018.0,4
23100,,,INTARIAN_PEPPER_ROOT,XIRECS,12014.0,5
23200,,,INTARIAN_PEPPER_ROOT,XIRECS,12019.0,4
28400,,,INTARIAN_PEPPER_ROOT,XIRECS,12024.0,8
36900,,,INTARIAN_PEPPER_ROOT,XIRECS,12030.0,3
37200,,,INTARIAN_PEPPER_ROOT,XIRECS,12031.0,4
37300,,,INTARIAN_PEPPER_ROOT,XIRECS,12033.0,5
38200,,,INTARIAN_PEPPER_ROOT,XIRECS,12034.0,5
38400,,,INTARIAN_PEPPER_ROOT,XIRECS,12042.0,3
39200,,,INTARIAN_PEPPER_ROOT,XIRECS,12033.0,3
40500,,,INTARIAN_PEPPER_ROOT,XIRECS,12036.0,7
47900,,,INTARIAN_PEPPER_ROOT,XIRECS,12044.0,4
49200,,,INTARIAN_PEPPER_ROOT,XIRECS,12056.0,5
53200,,,INTARIAN_PEPPER_ROOT,XIRECS,12063.0,5
65600,,,INTARIAN_PEPPER_ROOT,XIRECS,12069.0,8
65800,,,INTARIAN_PEPPER_ROOT,XIRECS,12059.0,4
67100,,,INTARIAN_PEPPER_ROOT,XIRECS,12061.0,4
68200,,,INTARIAN_PEPPER_ROOT,XIRECS,12059.0,3
74500,,,INTARIAN_PEPPER_ROOT,XIRECS,12081.0,6
75000,,,INTARIAN_PEPPER_ROOT,XIRECS,12068.0,5
77900,,,INTARIAN_PEPPER_ROOT,XIRECS,12071.0,4
79800,,,INTARIAN_PEPPER_ROOT,XIRECS,12073.0,6
85300,,,INTARIAN_PEPPER_ROOT,XIRECS,12088.0,6
86800,,,INTARIAN_PEPPER_ROOT,XIRECS,12090.0,5
92600,,,INTARIAN_PEPPER_ROOT,XIRECS,12096.0,5
96000,,,INTARIAN_PEPPER_ROOT,XIRECS,12089.0,7
96900,,,INTARIAN_PEPPER_ROOT,XIRECS,12103.0,4
100000,,,INTARIAN_PEPPER_ROOT,XIRECS,12103.0,4
100100,,,INTARIAN_PEPPER_ROOT,XIRECS,12107.0,7
102600,,,INTARIAN_PEPPER_ROOT,XIRECS,12098.0,4
