day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,globalTs,spread,microprice,imbalance
0,0,INTARIAN_PEPPER_ROOT,11991.0,19.0,,,,,12006.0,10.0,12009.0,19.0,,,11998.5,0.0,0,15.0,12000.827586206897,0.3103448275862069
0,100,INTARIAN_PEPPER_ROOT,11994.0,9.0,11991.0,23.0,,,12007.0,9.0,12010.0,23.0,,,12000.5,0.0,100,13.0,12000.5,0.0
0,200,INTARIAN_PEPPER_ROOT,11991.0,20.0,,,,,12007.0,11.0,12010.0,20.0,,,11999.0,0.0,200,16.0,12001.322580645161,0.2903225806451613
0,300,INTARIAN_PEPPER_ROOT,11994.0,10.0,11991.0,24.0,,,12007.0,10.0,,,,,12000.5,0.0,300,13.0,12000.5,0.0
0,400,INTARIAN_PEPPER_ROOT,11994.0,12.0,11991.0,25.0,,,,,,,,,11994.0,0.0,400,,,
0,500,INTARIAN_PEPPER_ROOT,11994.0,11.0,11991.0,25.0,,,12007.0,11.0,12010.0,25.0,,,12000.5,0.0,500,13.0,12000.5,0.0
0,600,INTARIAN_PEPPER_ROOT,11991.0,17.0,,,,,12007.0,9.0,12010.0,17.0,,,11999.0,0.0,600,16.0,12001.461538461539,0.3076923076923077
0,700,INTARIAN_PEPPER_ROOT,11994.0,11.0,11991.0,24.0,,,12007.0,11.0,12010.0,24.0,,,12000.5,0.0,700,13.0,12000.5,0.0
0,800,INTARIAN_PEPPER_ROOT,11994.0,9.0,,,,,,,,,,,11994.0,0.0,800,,,
0,900,INTARIAN_PEPPER_ROOT,11994.0,8.0,11991.0,15.0,,,12007.0,8.0,12010.0,15.0,,,12000.5,0.0,900,13.0,12000.5,0.0
0,1000,INTARIAN_PEPPER_ROOT,11994.0,11.0,11991.0,17.0,,,12007.0,11.0,12010.0,17.0,,,12000.5,0.0,1000,13.0,12000.5,0.0
0,1100,INTARIAN_PEPPER_ROOT,,,,,,,12008.0,12.0,12011.0,15.0,,,12008.0,0.0,1100,,,
0,1200,INTARIAN_PEPPER_ROOT,11995.0,8.0,11992.0,21.0,,,12008.0,8.0,12011.0,21.0,,,12001.5,0.0,1200,13.0,12001.5,0.0
0,1300,INTARIAN_PEPPER_ROOT,11995.0,8.0,,,,,12008.0,8.0,12011.0,21.0,,,12001.5,0.0,1300,13.0,12001.5,0.0
0,1400,INTARIAN_PEPPER_ROOT,11995.0,8.0,11992.0,19.0,,,12008.0,8.0,,,,,12001.5,0.0,1400,13.0,12001.5,0.0
0,1500,INTARIAN_PEPPER_ROOT,11995.0,9.0,11992.0,21.0,,,12011.0,21.0,,,,,12003.0,0.0,1500,16.0,11999.8,-0.4
0,1600,INTARIAN_PEPPER_ROOT,11995.0,10.0,11992.0,24.0,,,12011.0,24.0,,,,,12003.0,0.0,1600,16.0,11999.70588235294,-0.4117647058823529
0,1700,INTARIAN_PEPPER_ROOT,11995.0,10.0,11992.0,16.0,,,,,,,,,11995.0,0.0,1700,,,
0,1800,INTARIAN_PEPPER_ROOT,11995.0,10.0,11992.0,15.0,,,12008.0,10.0,12011.0,15.0,,,12001.5,0.0,1800,13.0,12001.5,0.0
0,1900,INTARIAN_PEPPER_ROOT,11995.0,9.0,11992.0,23.0,,,12008.0,9.0,12011.0,23.0,,,12001.5,0.0,1900,13.0,12001.5,0.0
0,2000,INTARIAN_PEPPER_ROOT,11995.0,10.0,11992.0,25.0,,,12009.0,10.0,12012.0,25.0,,,12002.0,0.0,2000,14.0,12002.0,0.0
0,2100,INTARIAN_PEPPER_ROOT,,,,,,,12009.0,10.0,12012.0,23.0,,,12009.0,0.0,2100,,,
0,2200,INTARIAN_PEPPER_ROOT,11996.0,12.0,11993.0,16.0,,,12009.0,12.0,12012.0,16.0,,,12002.5,0.0,2200,13.0,12002.5,0.0
0,2300,INTARIAN_PEPPER_ROOT,11996.0,8.0,11993.0,22.0,,,12012.0,22.0,,,,,12004.0,0.0,2300,16.0,12000.266666666666,-0.4666666666666667
0,2400,INTARIAN_PEPPER_ROOT,11996.0,12.0,11993.0,20.0,,,12009.0,12.0,12012.0,20.0,,,12002.5,0.0,2400,13.0,12002.5,0.0
0,2500,INTARIAN_PEPPER_ROOT,12006.0,4.0,11996.0,10.0,11993.0,16.0,,,,,,,12006.0,0.0,2500,,,
0,2600,INTARIAN_PEPPER_ROOT,11996.0,9.0,,,,,12009.0,9.0,12012.0,21.0,,,12002.5,0.0,2600,13.0,12002.5,0.0
0,2700,INTARIAN_PEPPER_ROOT,11996.0,11.0,11993.0,21.0,,,12009.0,11.0,12012.0,21.0,,,12002.5,0.0,2700,13.0,12002.5,0.0
